Model,Dataset,Threshold,Accuracy,Precision,Recall,F1Score,ROCAUC,PRAUC,AlertRate
Logistic Regression,Validation,0.4,0.5985110613262207,0.29640914036996735,0.6551856840484895,0.40816326530612246,0.666988805435831,0.3430795312697609,0.4670721740862869
XGBoost,Validation,0.475,0.592883832695662,0.29104730169473875,0.6453723301904946,0.40117457792343714,0.6567310951843138,0.3301819846617603,0.4685521677434569
Selected Logistic Regression,Final Test,0.4,0.5083008793200579,0.4013853161669896,0.8857923184717019,0.5524397258624765,0.6870627735096366,0.5250333445949498,0.7560339971097558
